Selected current long term conditions,State,Year,Estimate
Arthritis,NSW,2007-08,1022.8
Arthritis,NSW,2011-12,1113.8
Arthritis,NSW,2014-15,1225.2
Arthritis,NSW,2017-18,1183.5
Arthritis,NSW,2022,1182.2
Asthma,NSW,2007-08,621.3
Asthma,NSW,2011-12,689.6
Asthma,NSW,2014-15,769.5
Asthma,NSW,2017-18,829.1
Asthma,NSW,2022,713.8
Back problems (dorsopathies),NSW,2007-08,907.7
Back problems (dorsopathies),NSW,2011-12,956.9
Back problems (dorsopathies),NSW,2014-15,1200.1
Back problems (dorsopathies),NSW,2017-18,1129.6
Back problems (dorsopathies),NSW,2022,1119.8
Cancer (malignant neoplasms),NSW,2007-08,107.5
Cancer (malignant neoplasms),NSW,2011-12,77.6
Cancer (malignant neoplasms),NSW,2014-15,122.4
Cancer (malignant neoplasms),NSW,2017-18,132.7
Cancer (malignant neoplasms),NSW,2022,152.5
Chronic obstructive pulmonary disease (COPD),NSW,2007-08,174.1
Chronic obstructive pulmonary disease (COPD),NSW,2011-12,192
Chronic obstructive pulmonary disease (COPD),NSW,2014-15,213.3
Chronic obstructive pulmonary disease (COPD),NSW,2017-18,208.8
Chronic obstructive pulmonary disease (COPD),NSW,2022,176.9
Diabetes mellitus,NSW,2007-08,307.8
Diabetes mellitus,NSW,2011-12,346.7
Diabetes mellitus,NSW,2014-15,412
Diabetes mellitus,NSW,2017-18,390.7
Diabetes mellitus,NSW,2022,410.2
Hay fever and allergic rhinitis,NSW,2007-08,882.1
Hay fever and allergic rhinitis,NSW,2011-12,1114.3
Hay fever and allergic rhinitis,NSW,2014-15,1367.5
Hay fever and allergic rhinitis,NSW,2017-18,1342.7
Hay fever and allergic rhinitis,NSW,2022,1655
"Heart, stroke and vascular disease",NSW,2007-08,327.5
"Heart, stroke and vascular disease",NSW,2011-12,353.8
"Heart, stroke and vascular disease",NSW,2014-15,368.7
"Heart, stroke and vascular disease",NSW,2017-18,353.1
"Heart, stroke and vascular disease",NSW,2022,389.6
Hypertension,NSW,2007-08,599.4
Hypertension,NSW,2011-12,777.3
Hypertension,NSW,2014-15,888
Hypertension,NSW,2017-18,826.9
Hypertension,NSW,2022,888.4
Kidney disease,NSW,2007-08,3.1
Kidney disease,NSW,2011-12,59.1
Kidney disease,NSW,2014-15,64.8
Kidney disease,NSW,2017-18,69.9
Kidney disease,NSW,2022,63
Mental and behavioural conditions,NSW,2007-08,737.8
Mental and behavioural conditions,NSW,2011-12,935.1
Mental and behavioural conditions,NSW,2014-15,1317.6
Mental and behavioural conditions,NSW,2017-18,1482.7
Mental and behavioural conditions,NSW,2022,1784.3
Osteoporosis,NSW,2007-08,247.3
Osteoporosis,NSW,2011-12,266.9
Osteoporosis,NSW,2014-15,300.9
